member_id,name,dob,join_date,plan_type,status
M0001,Name_1,1950-01-01,2015-01-01,Silver,Active
M0002,Name_2,1950-02-10,2015-01-07,Silver,Active
M0003,Name_3,1950-03-23,2015-01-14,Silver,Cancelled
M0004,Name_4,1950-05-03,2015-01-20,Gold,Active
M0005,Name_5,1950-06-13,2015-01-27,Silver,Active
M0006,Name_6,1950-07-24,2015-02-02,Bronze,Active
M0007,Name_7,1950-09-03,2015-02-09,Bronze,Active
M0008,Name_8,1950-10-14,2015-02-16,Silver,Active
M0009,Name_9,1950-11-24,2015-02-22,Silver,Active
M0010,Name_10,1951-01-04,2015-03-01,Gold,Active
M0011,Name_11,1951-02-14,2015-03-07,Bronze,Active
M0012,Name_12,1951-03-27,2015-03-14,Bronze,Active
M0013,Name_13,1951-05-07,2015-03-21,Gold,Active
M0014,Name_14,1951-06-17,2015-03-27,Silver,Cancelled
M0015,Name_15,1951-07-28,2015-04-03,Silver,Cancelled
M0016,Name_16,1951-09-07,2015-04-09,Bronze,Active
M0017,Name_17,1951-10-18,2015-04-16,Bronze,Active
M0018,Name_18,1951-11-28,2015-04-22,Bronze,Active
M0019,Name_19,1952-01-08,2015-04-29,Gold,Active
M0020,Name_20,1952-02-18,2015-05-06,Gold,Active
M0021,Name_21,1952-03-30,2015-05-12,Silver,Active
M0022,Name_22,1952-05-10,2015-05-19,Bronze,Active
M0023,Name_23,1952-06-20,2015-05-25,Silver,Active
M0024,Name_24,1952-07-31,2015-06-01,Bronze,Cancelled
M0025,Name_25,1952-09-10,2015-06-08,Gold,Active
M0026,Name_26,1952-10-21,2015-06-14,Bronze,Active
M0027,Name_27,1952-12-01,2015-06-21,Silver,Active
M0028,Name_28,1953-01-11,2015-06-27,Silver,Active
M0029,Name_29,1953-02-21,2015-07-04,Gold,Active
M0030,Name_30,1953-04-03,2015-07-10,Silver,Active
M0031,Name_31,1953-05-14,2015-07-17,Silver,Active
M0032,Name_32,1953-06-24,2015-07-24,Bronze,Active
M0033,Name_33,1953-08-04,2015-07-30,Silver,Cancelled
M0034,Name_34,1953-09-14,2015-08-06,Silver,Cancelled
M0035,Name_35,1953-10-25,2015-08-12,Silver,Active
M0036,Name_36,1953-12-05,2015-08-19,Silver,Active
M0037,Name_37,1954-01-15,2015-08-26,Bronze,Active
M0038,Name_38,1954-02-25,2015-09-01,Bronze,Active
M0039,Name_39,1954-04-07,2015-09-08,Gold,Active
M0040,Name_40,1954-05-18,2015-09-14,Gold,Cancelled
M0041,Name_41,1954-06-28,2015-09-21,Silver,Active
M0042,Name_42,1954-08-08,2015-09-27,Silver,Active
M0043,Name_43,1954-09-18,2015-10-04,Silver,Active
M0044,Name_44,1954-10-29,2015-10-11,Bronze,Active
M0045,Name_45,1954-12-09,2015-10-17,Gold,Active
M0046,Name_46,1955-01-19,2015-10-24,Silver,Active
M0047,Name_47,1955-03-01,2015-10-30,Gold,Cancelled
M0048,Name_48,1955-04-11,2015-11-06,Gold,Active
M0049,Name_49,1955-05-22,2015-11-13,Silver,Active
M0050,Name_50,1955-07-02,2015-11-19,Silver,Active
M0051,Name_51,1955-08-12,2015-11-26,Silver,Active
M0052,Name_52,1955-09-22,2015-12-02,Bronze,Active
M0053,Name_53,1955-11-02,2015-12-09,Bronze,Active
M0054,Name_54,1955-12-13,2015-12-16,Bronze,Active
M0055,Name_55,1956-01-23,2015-12-22,Gold,Active
M0056,Name_56,1956-03-04,2015-12-29,Silver,Active
M0057,Name_57,1956-04-14,2016-01-04,Silver,Active
M0058,Name_58,1956-05-25,2016-01-11,Silver,Active
M0059,Name_59,1956-07-05,2016-01-17,Gold,Cancelled
M0060,Name_60,1956-08-15,2016-01-24,Gold,Active
M0061,Name_61,1956-09-25,2016-01-31,Gold,Active
M0062,Name_62,1956-11-05,2016-02-06,Silver,Cancelled
M0063,Name_63,1956-12-16,2016-02-13,Gold,Active
M0064,Name_64,1957-01-26,2016-02-19,Bronze,Active
M0065,Name_65,1957-03-08,2016-02-26,Bronze,Active
M0066,Name_66,1957-04-18,2016-03-04,Gold,Cancelled
M0067,Name_67,1957-05-29,2016-03-10,Silver,Active
M0068,Name_68,1957-07-09,2016-03-17,Gold,Active
M0069,Name_69,1957-08-19,2016-03-23,Silver,Active
M0070,Name_70,1957-09-29,2016-03-30,Silver,Active
M0071,Name_71,1957-11-09,2016-04-05,Silver,Active
M0072,Name_72,1957-12-20,2016-04-12,Bronze,Active
M0073,Name_73,1958-01-30,2016-04-19,Silver,Active
M0074,Name_74,1958-03-12,2016-04-25,Silver,Active
M0075,Name_75,1958-04-22,2016-05-02,Silver,Active
M0076,Name_76,1958-06-02,2016-05-08,Silver,Active
M0077,Name_77,1958-07-13,2016-05-15,Silver,Active
M0078,Name_78,1958-08-23,2016-05-22,Bronze,Active
M0079,Name_79,1958-10-03,2016-05-28,Gold,Active
M0080,Name_80,1958-11-13,2016-06-04,Silver,Active
M0081,Name_81,1958-12-24,2016-06-10,Silver,Active
M0082,Name_82,1959-02-03,2016-06-17,Silver,Active
M0083,Name_83,1959-03-16,2016-06-23,Silver,Active
M0084,Name_84,1959-04-26,2016-06-30,Bronze,Cancelled
M0085,Name_85,1959-06-05,2016-07-07,Gold,Active
M0086,Name_86,1959-07-16,2016-07-13,Silver,Active
M0087,Name_87,1959-08-26,2016-07-20,Gold,Active
M0088,Name_88,1959-10-06,2016-07-26,Gold,Active
M0089,Name_89,1959-11-16,2016-08-02,Bronze,Active
M0090,Name_90,1959-12-27,2016-08-09,Silver,Cancelled
